Name,Address,Lat,Lon,Category,Reviews
Cafe Selam,"2715 E Cherry St Ste B Central District Seattle, WA 98122",47.607888,-122.2969263,african,85
Saba Ethiopian Cuisine,"110 12th Ave Central District Seattle, WA 98122",47.6021036,-122.3164828,african,137
Gojo,"13510 Aurora Ave Haller Lake Seattle, WA 98133",47.7272959,-122.3439898,african,111
Chef Cafe,"2200 S Jackson St Atlantic Seattle, WA 98144",47.599482,-122.303065,african,111
Queen Sheba,"916 E John St Capitol Hill Seattle, WA 98102",47.6200878,-122.3201064,african,238
Meskel Ethiopian Restaurant,"2605 E Cherry St Central District Seattle, WA 98122",47.6078115,-122.2985665,african,94
Adey Abeba Ethiopian Restaurant,"2123 E Union St Central District Seattle, WA 98122",47.6127121,-122.3038606,african,39
Tagla Cafe,"4423 Rainier Ave S Columbia City Seattle, WA 98118",47.5635498,-122.2882926,african,74
Cafe Ibex,"3219 Martin Luther King Jr Way S Columbia City Seattle, WA 98144",47.5742916,-122.2973072,african,47
Kezira Eritrean & Ethiopian Restaurant,"5100 Rainier Ave S Columbia City Seattle, WA 98118",47.556109,-122.28318,african,19
Zuma Grocery,"129 NW 85th St Ste A Phinney Ridge Seattle, WA 98117",47.6903981,-122.3593089,african,32
Star Coffee Restaurant,"16005 International Blvd Seatac, WA 98188",47.4594382,-122.2925748,african,15
Assimba Ethiopian Cuisine,"2722 E Cherry St Central District Seattle, WA 98122",47.608173,-122.2967071,african,75
Kaffa Coffee & Wine Bar,"8136 Rainier Ave S Rainier Beach Seattle, WA 98118",47.5299024,-122.2697177,african,6
Shewaber,"1221 S Main St International District Seattle, WA 98144",47.5997059,-122.3161564,african,11
Elu Cafe,"1265 S Main St Central District Seattle, WA 98144",47.5996976,-122.3145011,african,2
Blue Nile Restaurant,"456 12th Ave Central District Seattle, WA 98122",47.6057882,-122.3165602,african,29
Café Soleil,"1400 34th Ave Madrona Seattle, WA 98122",47.6130066,-122.28906,african,44
Zobel,"1219 E Jefferson St Central District Seattle, WA 98122",47.6059721,-122.3159015,african,24
East African Imports & Restaurant,"2301 S Jackson St Ste 204 & 205 Atlantic Seattle, WA 98144",47.5991257,-122.2886495,african,7
Ahadu,"1508 117th NE Seattle, WA 98125",47.7139844,-122.3120264,african,1
Ambassel Ethiopian Restaurant,"1224 E Jefferson St Central District Seattle, WA 98122",47.6063234,-122.3156688,african,12
Dukem Market and Restaurant,"215 SW 152nd St Burien, WA 98166",47.466578,-122.3373383,african,5
Ras Dashen,"2801 E Cherry St Leschi Seattle, WA 98122",47.6077639,-122.2956438,african,37
Agelgil Ethiopian Restaurant,"2800 East Cherry St Madrona Seattle, WA 98122",47.6081759,-122.295864,african,6
Wonder Coffee & Sports Bar,"1800 S Jackson St Central District Seattle, WA 98144",47.599519,-122.3081234,african,21
Fana's Cuisine,"3621 33rd Ave S Mount Baker Seattle, WA 98144",47.57102,-122.2913808,african,11
MESOB At the curb,"Central District Seattle, WA 98122",47.6087583,-122.2964235,african,7
Amy's Merkato,"2922 E Cherry St Madrona Seattle, WA 98122",47.6080093,-122.2941108,african,10
City Cafe & Restaurant,"2814 Mlk Way S Mount Baker Seattle, WA 98144",47.5776776,-122.2958246,african,3
Bantaba African Restaurant,"19417 36th Ave W Lynnwood, WA 98036",47.8225102,-122.2809609,african,33
La Teranga,"4903 1/2 Rainier Ave S Columbia City Seattle, WA 98118",47.5577886,-122.2850285,african,93
Safari Njema Restaurant,"5041 Rainier Ave S Ste 107 Columbia City Seattle, WA 98118",47.5559893,-122.2842903,african,76
Afrikando Banadir,"5212 Rainier Ave S Columbia City Seattle, WA 98118",47.5557498,-122.282907,african,19
Salaama Restaurant,"13820 Tukwila International Blvd Tukwila, WA 98168",47.4790171,-122.2838796,african,39
Juba Restaurant & Cafe,"14223 Tukwila International Blvd Tukwila, WA 98168",47.475813,-122.2835988,african,21
Cederberg Tea House,"1417 Queen Anne Ave N Ste 101 B Queen Anne Seattle, WA 98109",47.6320851,-122.3570667,african,96
Dur Dur Cafe,"2212 E Cherry St Central District Seattle, WA 98122",47.6081881,-122.3030649,african,16
Dahlak Eritrean Cuisine,"2007 S State St Beacon Hill Seattle, WA 98144",47.5875905,-122.3058886,african,54
Kezira Eritrean & Ethiopian Restaurant,"5100 Rainier Ave S Columbia City Seattle, WA 98118",47.556109,-122.28318,african,19
Marwa Restaurant,"15035 Tukwila International Blvd Tukwila, WA 98188",47.4682348,-122.2874277,african,13
Indian Ocean Restaurant,"2519 S Jackson St Atlantic Seattle, WA 98144",47.5991045,-122.299091,african,11
On Safari Café,"3317 3rd Ave S Industrial District Seattle, WA 98134",47.5740444,-122.3304512,South African,5
Karama Restaurant,"6727 Martin Luther King Jr Way S Beacon Hill Seattle, WA 98118",47.54157,-122.283898,african,7
Afriq Restaurant & Lounge,"12619 Renton Ave S Seattle, WA 98178",47.4906395,-122.2398451,african,1
Tawakal,"5901 Rainier Ave Hillman City Seattle, WA 98118",47.5496865,-122.2773271,african,1
Malaaya Restaurant,"1106 23rd Ave Central District Seattle, WA 98122",47.61185,-122.3027071,african,1
Kabsa House,"12340 Lake City Way NE Seattle, WA 98125",47.7178806,-122.2959562,african,2
Amin International Market and Deli,"7126 Martin Luther King Jr Way S Ste 105 Brighton Seattle, WA 98118",47.5381191,-122.2809638,african,1
error,error,47.5381191,-122.2809638,error,error
Mojito,"7545 Lake City Way NE Mapleleaf Seattle, WA 98115",47.6843797,-122.316065,Colombian,373
La Isla Cuisine,"2320 NW Market St Ballard Seattle, WA 98107",47.668938,-122.3872148,Latin American,820
The Innkeeper,"2510 1st Ave Belltown Seattle, WA 98121",47.6151587,-122.3489013,Latin American,194
Tropicos Breeze,"9710 Aurora Ave N Lichton Springs Seattle, WA 98103",47.6999872,-122.344513,mexican,147
La Isla Cuisine,"16505 Redmond Way Ste A Redmond, WA 98052",47.6731723,-122.1204282,Latin American,226
Tiko Riko,"10410 Greenwood Ave N Ste B Greenwood Seattle, WA 98133",47.7048588,-122.3549209,mexican,132
La Isla Del Mojito,"5300 Rainier Ave S Columbia City Seattle, WA 98118",47.5540099,-122.2802583,Latin American,37
Pimienta Bistro & Bar,"34029 Hoyt Rd SW Ste C Federal Way, WA 98023",47.2963738,-122.3826455,Latin American,95
La Parrilla Mexicana,"626 SW 152nd St Burien, WA 98166",47.4670532,-122.3430481,Latin American,7
Salvadorean Bakery & Restaurant,"1719 SW Roxbury St White Center Seattle, WA 98106",47.5171417,-122.3572661,mexican,157
Guanaco's Tacos Pupuseria,"4106 Brooklyn Ave NE Ste 102A University District Seattle, WA 98105",47.657144,-122.314045,mexican,211
Belen Pupuseria,"1833 Auburn Way N Auburn, WA 98002",47.3242811,-122.2227044,mexican,46
Mission,"2325 California Ave SW Admiral Seattle, WA 98127",47.5822393,-122.3867944,Latin American,236
Sol Food Bar & Grill,"1405 Hewitt Ave Everett, WA 98201",47.979571,-122.210858,Latin American,92
Macchu Picchu Peruvian Restaurant,"15620 Hwy 99 Ste 8 Lynnwood, WA 98087",47.856817,-122.289545,Latin American,11
Mi Bella Honduras Restaurant,"29500 Pacific Hwy  S Federal Way, WA 98003",47.3376823,-122.3115474,Latin American,10
Salva Mex,"15019 Ambaum Blvd SW Burien, WA 98166",47.4679865,-122.3460889,mexican,7
Sur 16 Restaurant,"340 15th Ave E Ste 201 Capitol Hill Seattle, WA 98112",47.621667,-122.312297,Latin American,42
Wyraqocha Peruvian Kitchen,"110 Central Way Kirkland, WA 98033",47.6766101,-122.20784,Latin American,59
Club Sur,"2901 1st Ave S Industrial District Seattle, WA 98134",47.5775355,-122.334701,Latin American,32
Casco Antiguo,"115 Occidental Ave S Pioneer Square Seattle, WA 98104",47.601176,-122.333272,mexican,82
Moctezuma's Mexican Restaurant & Tequila Bar,"1150 Southcenter Mall Tukwila, WA 98188",47.457953,-122.2580528,mexican,255
Tropicos Breeze,"9710 Aurora Ave N Lichton Springs Seattle, WA 98103",47.6999872,-122.344513,mexican,147
Fonda La Catrina,"5905 Airport Way S Georgetown Seattle, WA 98108",47.5499039,-122.3177959,mexican,330
Taqueria El Sabor,"15221 Aurora Ave N Shoreline, WA 98133",47.739706,-122.3456917,mexican,225
Taqueria El Rinconsito,"2255 140th Ave NE Ste A Bellevue, WA 98005",47.630621,-122.15465,mexican,319
La Carta de Oaxaca,"5431 Ballard Ave NW Ballard Seattle, WA 98107",47.6680532,-122.3858915,mexican,945
Las Espuelas,"4306 228th St SW Ste 9 Mountlake Terrace, WA 98043",47.7915595,-122.2912836,mexican,184
Mezcaleria Oaxaca,"2123 Queen Anne Ave N Queen Anne Seattle, WA 98109",47.6378767,-122.3572669,mexican,232
La Cocina Oaxaquena,"1216 Pine St Capitol Hill Seattle, WA 98101",47.6154864,-122.3282754,mexican,153
Los Bigotes de Villa,"668 Strander Blvd Tukwila, WA 98188",47.4576244,-122.2447585,mexican,95
Tacos Chukis,"219 Broadway E Capitol Hill Seattle, WA 98102",47.6205787,-122.3213137,mexican,492
